"File","Interface","ReturnType","Method","Params"
"src\Org.Frontend\Services\Auth\IAuthService.cs","IAuthService","Task<MeResponse>","GetMeAsync","string accessToken, CancellationToken ct = default"
"src\Org.Frontend\Services\Auth\IAuthService.cs","IAuthService","Task<LoginResponse>","LoginAsync","LoginRequest request, CancellationToken ct = default"
"src\Org.Frontend\Services\Auth\IAuthService.cs","IAuthService","Task<RegisterResponse>","RegisterAsync","RegisterRequest request, CancellationToken ct = default"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<DepartmentDto>","AssignManagerAsync","Guid departmentId, Guid? managerMemberId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task","AssignMemberAsync","Guid departmentId, Guid memberId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<DepartmentTaskDto>","CompleteDepartmentTaskAsync","Guid taskId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<DepartmentDto>","CreateDepartment","CreateDepartmentRequest req"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<DepartmentTaskDto>","CreateDepartmentTaskAsync","Guid departmentId, CreateDepartmentTaskRequest request"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task","DeleteDepartment","Guid id"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task","DeleteDepartmentTaskAsync","Guid taskId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<List<MemberDto>>","GetDepartmentMembersAsync","Guid departmentId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<List<DepartmentDto>>","GetDepartments","Guid orgId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<List<DepartmentTaskDto>>","GetDepartmentTasksAsync","Guid departmentId"
"src\Org.Frontend\Services\Departments\IDepartmentService.cs","IDepartmentService","Task<DepartmentTasksOverviewViewModel>","GetTasksOverviewAsync","Guid departmentId"
