"Method","Path","Tags","OperationId","Auth","Params","BodySchema","Responses","Summary"
"POST","/api/admin/apply-migration","Api","OrgBackendFeaturesAdminApplyMigrationEndpoint","Anonymous/Inherited","","","204",
"POST","/api/auth/login","Api","OrgBackendFeaturesAuthLoginEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesAuthLoginRequest","200:#/components/schemas/OrgSharedFeaturesAuthLoginResponse",
"GET","/api/auth/me","Api","OrgBackendFeaturesAuthMeEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesAuthMeResponse, 401, 403",
"POST","/api/auth/register","Api","OrgBackendFeaturesAuthRegisterEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesAuthRegisterRequest","200:#/components/schemas/OrgSharedFeaturesAuthRegisterResponse",
"GET","/api/categories/{categoryId}/tasks","Api","OrgBackendFeaturesTasksGetTasksEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesTasksGetTasksResponse, 401, 403",
"POST","/api/categories/{categoryId}/tasks","Api","OrgBackendFeaturesTasksCreateTaskEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesTasksCreateTaskRequest","200:#/components/schemas/OrgSharedFeaturesTasksTaskDto, 401, 403",
"DELETE","/api/categories/{id}","Api","OrgBackendFeaturesEventCategoriesDeleteEventCategoryEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/categories/{id}","Api","OrgBackendFeaturesEventCategoriesGetEventCategoryByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventCategoriesGetEventCategoryByIdResponse, 401, 403",
"PUT","/api/categories/{id}","Api","OrgBackendFeaturesEventCategoriesUpdateEventCategoryEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventCategoriesUpdateEventCategoryRequest","200:#/components/schemas/OrgSharedFeaturesEventCategoriesEventCategoryDto, 401, 403",
"POST","/api/categories/{id}/restore","Api","OrgBackendFeaturesEventCategoriesRestoreEventCategoryEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventCategoriesEventCategoryDto, 401, 403",
"POST","/api/departments","Api","OrgBackendFeaturesDepartmentsCreateDepartmentEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesDepartmentsCreateDepartmentRequest","200:#/components/schemas/OrgSharedFeaturesDepartmentsDepartmentDto, 401, 403",
"DELETE","/api/departments/{id}","Api","OrgBackendFeaturesDepartmentsDeleteDepartmentEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/departments/{id}","Api","OrgBackendFeaturesDepartmentsGetDepartmentByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesDepartmentsGetDepartmentByIdResponse, 401, 403",
"PUT","/api/departments/{id}","Api","OrgBackendFeaturesDepartmentsUpdateDepartmentEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesDepartmentsUpdateDepartmentRequest","200:#/components/schemas/OrgSharedFeaturesDepartmentsDepartmentDto, 401, 403",
"PUT","/api/departments/{id}/manager","Api","OrgBackendFeaturesDepartmentsUpdateDepartmentManagerEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesDepartmentsUpdateDepartmentManagerRequest","200:#/components/schemas/OrgSharedFeaturesDepartmentsDepartmentDto, 401, 403",
"GET","/api/departments/{id}/members","Api","OrgBackendFeaturesDepartmentsGetDepartmentMembersEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesDepartmentsGetDepartmentMembersResponse, 401, 403",
"DELETE","/api/departments/{id}/members/{memberId}","Api","OrgBackendFeaturesDepartmentsRemoveDepartmentMemberEndpoint","Anonymous/Inherited","(:string); (:string)","","204, 401, 403",
"POST","/api/departments/{id}/members/{memberId}","Api","OrgBackendFeaturesDepartmentsAssignDepartmentMemberEndpoint","Anonymous/Inherited","(:string); (:string)","","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"POST","/api/departments/{id}/restore","Api","OrgBackendFeaturesDepartmentsRestoreDepartmentEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesDepartmentsDepartmentDto, 401, 403",
"GET","/api/departments/{id}/tasks/overview","Api","OrgBackendFeaturesDepartmentsGetDepartmentTasksOverviewEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesDepartmentsGetDepartmentTasksOverviewResponse, 401, 403",
"POST","/api/events","Api","OrgBackendFeaturesEventsCreateEventEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesEventsCreateEventRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"GET","/api/events/{eventId}/milestones","Api","OrgBackendFeaturesMilestonesGetMilestonesEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMilestonesGetMilestonesResponse, 401, 403",
"POST","/api/events/{eventId}/milestones","Api","OrgBackendFeaturesMilestonesCreateMilestoneEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMilestonesCreateMilestoneRequest","200:#/components/schemas/OrgSharedFeaturesMilestonesMilestoneDto, 401, 403",
"GET","/api/events/{eventId}/ratings","Api","OrgBackendFeaturesEventsGetEventRatingsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventRatingsResponse, 401, 403",
"POST","/api/events/{eventId}/ratings","Api","OrgBackendFeaturesEventsCreateEventRatingEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventsCreateEventRatingRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventRatingDto, 401, 403",
"GET","/api/events/{eventId}/ratings/stats","Api","OrgBackendFeaturesEventsGetEventRatingStatsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventRatingStatsResponse, 401, 403",
"DELETE","/api/events/{id}","Api","OrgBackendFeaturesEventsDeleteEventEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/events/{id}","Api","OrgBackendFeaturesEventsGetEventByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventByIdResponse, 401, 403",
"PUT","/api/events/{id}","Api","OrgBackendFeaturesEventsUpdateEventEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventsUpdateEventRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"GET","/api/events/{id}/public","Api","OrgBackendFeaturesEventsGetPublicEventByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventByIdResponse, 401, 403",
"POST","/api/events/{id}/restore","Api","OrgBackendFeaturesEventsRestoreEventEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"PUT","/api/events/{id}/visibility","Api","OrgBackendFeaturesEventsUpdateEventVisibilityEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventsUpdateEventVisibilityRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"GET","/api/events/public","Api","OrgBackendFeaturesEventsGetPublicEventsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesEventsGetPublicEventsResponse, 401, 403",
"DELETE","/api/members/{id}","Api","OrgBackendFeaturesMembersDeleteMemberEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"PUT","/api/members/{id}/department","Api","OrgBackendFeaturesMembersUpdateMemberDepartmentEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMembersUpdateMemberDepartmentRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"PUT","/api/members/{id}/role","Api","OrgBackendFeaturesMembersUpdateMemberRoleEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMembersUpdateMemberRoleRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"DELETE","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesDeleteMilestoneEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesGetMilestoneByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMilestonesGetMilestoneByIdResponse, 401, 403",
"PUT","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesUpdateMilestoneEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMilestonesUpdateMilestoneRequest","200:#/components/schemas/OrgSharedFeaturesMilestonesMilestoneDto, 401, 403",
"POST","/api/milestones/{id}/restore","Api","OrgBackendFeaturesMilestonesRestoreMilestoneEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMilestonesMilestoneDto, 401, 403",
"GET","/api/milestones/{milestoneId}/categories","Api","OrgBackendFeaturesEventCategoriesGetEventCategoriesEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventCategoriesGetEventCategoriesResponse, 401, 403",
"POST","/api/milestones/{milestoneId}/categories","Api","OrgBackendFeaturesEventCategoriesCreateEventCategoryEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventCategoriesCreateEventCategoryRequest","200:#/components/schemas/OrgSharedFeaturesEventCategoriesEventCategoryDto, 401, 403",
"GET","/api/notifications","Api","OrgBackendFeaturesNotificationsGetNotificationsEndpoint","Anonymous/Inherited","(:integer); (:integer); (:boolean); (:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetNotificationsResponse, 401, 403",
"DELETE","/api/notifications/{id}","Api","OrgBackendFeaturesNotificationsDeleteNotificationEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/notifications/{id}","Api","OrgBackendFeaturesNotificationsGetNotificationByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetNotificationByIdResponse, 401, 403",
"PUT","/api/notifications/{id}/read","Api","OrgBackendFeaturesNotificationsMarkAsReadEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsMarkAsReadResponse, 401, 403",
"DELETE","/api/notifications/clear-all","Api","OrgBackendFeaturesNotificationsClearAllNotificationsEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesNotificationsClearNotificationsRequest","200:#/components/schemas/OrgSharedFeaturesNotificationsClearNotificationsResponse, 401, 403",
"PUT","/api/notifications/read-all","Api","OrgBackendFeaturesNotificationsMarkAllAsReadEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesNotificationsMarkAllAsReadResponse, 401, 403",
"GET","/api/notifications/unread-count","Api","OrgBackendFeaturesNotificationsGetUnreadCountEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetUnreadCountResponse, 401, 403",
"GET","/api/organizations","Api","OrgBackendFeaturesOrganizationsGetOrganizationsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationsResponse, 401, 403",
"POST","/api/organizations","Api","OrgBackendFeaturesOrganizationsCreateOrganizationEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesOrganizationsCreateOrganizationRequest","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationDto, 401, 403",
"DELETE","/api/organizations/{id}","Api","OrgBackendFeaturesOrganizationsDeleteOrganizationEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/organizations/{id}","Api","OrgBackendFeaturesOrganizationsGetOrganizationByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationByIdResponse, 401, 403",
